name,p4_url,http_status,n_outgal,complexity_rank,best_outgal,all_outgals,error
PGC040889,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC040889/P4/,404,0,0,,[],
PGC041314,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC041314/P4/,404,0,0,,[],
PGC041463,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC041463/P4/,404,0,0,,[],
PGC042068,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC042068/P4/,200,3,3,PGC042068_bdn.outgal,"[""PGC042068_bdn.outgal"", ""PGC042068_onecomp.outgal"", ""PGC042068_twocomp.outgal""]",
PGC042160,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC042160/P4/,200,3,3,PGC042160_d.outgal,"[""PGC042160_d.outgal"", ""PGC042160_onecomp.outgal"", ""PGC042160_twocomp.outgal""]",
PGC042868,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC042868/P4/,200,3,3,PGC042868_dbarn.outgal,"[""PGC042868_dbarn.outgal"", ""PGC042868_onecomp.outgal"", ""PGC042868_twocomp.outgal""]",
PGC043020,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC043020/P4/,200,3,3,PGC043020_d.outgal,"[""PGC043020_d.outgal"", ""PGC043020_onecomp.outgal"", ""PGC043020_twocomp.outgal""]",
PGC043151,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC043151/P4/,404,0,0,,[],
PGC043283,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC043283/P4/,404,0,0,,[],
PGC043600,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC043600/P4/,404,0,0,,[],
PGC043690,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC043690/P4/,404,0,0,,[],
PGC044278,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC044278/P4/,200,2,2,PGC044278_twocomp.outgal,"[""PGC044278_onecomp.outgal"", ""PGC044278_twocomp.outgal""]",
PGC044701,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC044701/P4/,404,0,0,,[],
PGC044733,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC044733/P4/,404,0,0,,[],
PGC044812,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC044812/P4/,404,0,0,,[],
PGC044906,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC044906/P4/,200,3,3,PGC044906_d.outgal,"[""PGC044906_d.outgal"", ""PGC044906_onecomp.outgal"", ""PGC044906_twocomp.outgal""]",
PGC044952,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC044952/P4/,200,3,3,PGC044952_d.outgal,"[""PGC044952_d.outgal"", ""PGC044952_onecomp.outgal"", ""PGC044952_twocomp.outgal""]",
PGC044982,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC044982/P4/,200,3,3,PGC044982_d.outgal,"[""PGC044982_d.outgal"", ""PGC044982_onecomp.outgal"", ""PGC044982_twocomp.outgal""]",
PGC044983,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC044983/P4/,404,0,0,,[],
PGC045195,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC045195/P4/,200,3,3,PGC045195_dbar.outgal,"[""PGC045195_dbar.outgal"", ""PGC045195_onecomp.outgal"", ""PGC045195_twocomp.outgal""]",
PGC045257,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC045257/P4/,200,3,3,PGC045257_d.outgal,"[""PGC045257_d.outgal"", ""PGC045257_onecomp.outgal"", ""PGC045257_twocomp.outgal""]",
PGC045512,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC045512/P4/,404,0,0,,[],
PGC045652,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC045652/P4/,200,1,1,PGC045652_onecomp.outgal,"[""PGC045652_onecomp.outgal""]",
PGC045711,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC045711/P4/,404,0,0,,[],
PGC045824,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC045824/P4/,200,3,3,PGC045824_dd.outgal,"[""PGC045824_dd.outgal"", ""PGC045824_onecomp.outgal"", ""PGC045824_twocomp.outgal""]",
PGC045955,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/PGC045955/P4/,404,0,0,,[],
